[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40008
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30008
[NEW CONNECTION] ('127.0.0.1', 50016) connected.
[REGISTER] 127.0.0.1:50016 registerd
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.150081, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.150081, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.163197, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.163197, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.163197, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.163197, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.163197, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.163197, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.163197, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.1759841, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1759841, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1759841, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.1759841, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1759841, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1759841, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1759841, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.186882, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.186882, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.186882, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.186882, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.186882, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.186882, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.186882, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.197578, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.197578, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.197578, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.197578, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.197578, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.197578, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.197578, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.209019, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.209019, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.209019, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.209019, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.209019, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.209019, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.209019, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.219559, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.219559, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.219559, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.219559, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.219559, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.219559, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.219559, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.230468, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.230468, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.230468, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.230468, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.230468, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.230468, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.230468, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.2411578, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2411578, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.2411578, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2411578, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2411578, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2411578, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2411578, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.252307, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.252307, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.252307, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.252307, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.252307, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.252307, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.252307, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.2629812, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2629812, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.2629812, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2629812, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2629812, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2629812, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2629812, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.2761831, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2761831, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.2761831, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2761831, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2761831, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2761831, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.2761831, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.289363, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.289363, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.289363, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.289363, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.289363, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.289363, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.289363, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.300012, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.300012, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.300012, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.300012, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.300012, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.300012, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.300012, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.3130822, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3130822, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.3130822, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3130822, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3130822, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3130822, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3130822, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.325561, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.325561, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.325561, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.325561, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.325561, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.325561, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.325561, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.3373282, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3373282, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3373282, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.3373282, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3373282, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3373282, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3373282, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.349617, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.349617, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.349617, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.349617, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.349617, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.349617, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.349617, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.362164, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.362164, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.362164, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.362164, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.362164, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.362164, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.362164, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.3738291, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3738291, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3738291, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.3738291, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3738291, TTL: 4
