[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40004
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30004
[NEW CONNECTION] ('127.0.0.1', 50008) connected.
[REGISTER] 127.0.0.1:50008 registerd
[BROADRECV] QUERY - ID: 50002-1616979648.5260422, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5260422, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5260422, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5260422, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.5260422, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5260422, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.5370371, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5370371, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5370371, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5370371, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.5370371, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.5370371, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.547891, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.547891, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.547891, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.547891, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.547891, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.547891, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.560843, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.560843, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.560843, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.560843, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.560843, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.560843, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979648.570514, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.570514, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.570514, TTL: 1
[BROADRECV] QUERYHIT - ID: 50004-1616979648.570514, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.570514, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.570514, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.570514, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.57279, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.57279, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.57279, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.57279, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.57279, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.57279, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979648.581704, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.581704, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.581704, TTL: 1
[BROADRECV] QUERYHIT - ID: 50004-1616979648.581704, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.581704, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.581704, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.581704, TTL: 2
[BROADRECV] QUERY - ID: 50002-1616979648.583185, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.583185, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.583185, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.583185, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.583185, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.583185, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.5920901, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.5920901, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.5920901, TTL: 1
[BROADRECV] QUERYHIT - ID: 50004-1616979648.5920901, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.5920901, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.5920901, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.5920901, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.594217, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.594217, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979648.594217, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.594217, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.594217, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.594217, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979648.602636, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.602636, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.602636, TTL: 1
[BROADRECV] QUERYHIT - ID: 50004-1616979648.602636, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.602636, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.602636, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.602636, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979648.604637, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979648.604637, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979648.604637, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616979648.604637, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.604637, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979648.604637, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.614099, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979648.614099, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979648.614099, TTL: 1
[BROADRECV] QUERYHIT - ID: 50004-1616979648.614099, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.614099, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979648.614099, TTL: 3
