[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40010
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30010
[NEW CONNECTION] ('127.0.0.1', 50020) connected.
[REGISTER] 127.0.0.1:50020 registerd
[BROADRECV] QUERY - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.9177558, TTL: 0
[BROADRECV] QUERY - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.925856, TTL: 0
[BROADRECV] QUERY - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERYHIT - ID: 50008-1616968406.9280782, TTL: 0
[BROADRECV] QUERY - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERY - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968406.929471, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616968406.929601, TTL: 0
[BROADRECV] QUERY - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616968406.936309, TTL: 0
[BROADRECV] QUERY - ID: 50006-1616968406.938296, TTL: 0
[BROADRECV] QUERY - ID: 50010-1616968406.938224, TTL: 0
[BROADRECV] QUERYHIT - ID: 50010-1616968406.938224, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.938296, TTL: 0
[BROADRECV] QUERYHIT - ID: 50010-1616968406.938224, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.938296, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.938296, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.938296, TTL: 0
[BROADRECV] QUERYHIT - ID: 50006-1616968406.938296, TTL: 0
[BROADRECV] QUERYHIT - ID: 50010-1616968406.938224, TTL: 0
