[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40003
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30003
[NEW CONNECTION] ('127.0.0.1', 50006) connected.
[REGISTER] 127.0.0.1:50006 registerd
[BROADRECV] QUERY - ID: 50004-1616979879.1781561, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979879.1781561, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979879.1781561, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979879.1781561, TTL: 2
[BROADRECV] QUERYHIT - ID: 50004-1616979879.1781561, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979879.1781561, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979879.1781561, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979879.1781561, TTL: 1
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979879.1781561, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979879.1781561, TTL: 4
[BROADRECV] QUERY - ID: 50008-1616979879.1805298, TTL: 4
[BROADRECV] QUERY - ID: 50008-1616979879.1805298, TTL: 2
[BROADRECV] QUERY - ID: 50008-1616979879.1805298, TTL: 2
[BROADRECV] QUERYHIT - ID: 50008-1616979879.1805298, TTL: 3
[BROADRECV] QUERYHIT - ID: 50008-1616979879.1805298, TTL: 4
[BROADRECV] QUERYHIT - ID: 50008-1616979879.1805298, TTL: 3
[BROADRECV] QUERYHIT - ID: 50008-1616979879.1805298, TTL: 4
[BROADRECV] QUERY - ID: 50016-1616979879.1804469, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616979879.1804469, TTL: 4
[BROADRECV] QUERYHIT - ID: 50016-1616979879.1804469, TTL: 3
[BROADRECV] QUERY - ID: 50016-1616979879.1804469, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616979879.1804469, TTL: 4
[BROADRECV] QUERYHIT - ID: 50016-1616979879.1804469, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979879.188867, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979879.188867, TTL: 2
[BROADRECV] QUERY - ID: 50004-1616979879.188867, TTL: 2
[BROADRECV] QUERYHIT - ID: 50004-1616979879.188867, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979879.189088, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979879.188867, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979879.188867, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979879.188867, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616979879.189088, TTL: 1
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979879.189088, TTL: 4
[BROADRECV] QUERY - ID: 50008-1616979879.191524, TTL: 4
[BROADRECV] QUERY - ID: 50008-1616979879.191524, TTL: 2
[BROADRECV] QUERY - ID: 50008-1616979879.191524, TTL: 2
[BROADRECV] QUERYHIT - ID: 50008-1616979879.191524, TTL: 4
[BROADRECV] QUERYHIT - ID: 50008-1616979879.191524, TTL: 3
[BROADRECV] QUERYHIT - ID: 50008-1616979879.191524, TTL: 3
[BROADRECV] QUERYHIT - ID: 50008-1616979879.191524, TTL: 4
[BROADRECV] QUERY - ID: 50016-1616979879.192425, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616979879.192425, TTL: 4
[BROADRECV] QUERYHIT - ID: 50016-1616979879.192425, TTL: 3
[BROADRECV] QUERY - ID: 50016-1616979879.192425, TTL: 0
[BROADRECV] QUERYHIT - ID: 50016-1616979879.192425, TTL: 4
[BROADRECV] QUERYHIT - ID: 50016-1616979879.192425, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979879.200717, TTL: 4
[BROADRECV] QUERY - ID: 50004-1616979879.200717, TTL: 2
[BROADRECV] QUERY - ID: 50004-1616979879.200717, TTL: 2
