[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40005
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30005
[NEW CONNECTION] ('127.0.0.1', 50010) connected.
[REGISTER] 127.0.0.1:50010 registerd
[BROADRECV] QUERY - ID: 50002-1616979736.68593, TTL: 1
[BROADRECV] QUERYHIT - ID: 50002-1616979736.68593, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.68593, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979736.68593, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.68593, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.68593, TTL: 4
[BROADRECV] QUERY - ID: 50006-1616979736.68718, TTL: 3
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.68593, TTL: 3
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 4
[BROADRECV] QUERY - ID: 50006-1616979736.68718, TTL: 1
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 2
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 3
[BROADRECV] QUERYHIT - ID: 50006-1616979736.68718, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616979736.698087, TTL: 1
[BROADRECV] QUERYHIT - ID: 50002-1616979736.698087, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.698087, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.698087, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616979736.698087, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.698087, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616979736.698087, TTL: 3
[BROADRECV] QUERY - ID: 50006-1616979736.699806, TTL: 3
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 4
[BROADRECV] QUERY - ID: 50006-1616979736.699806, TTL: 1
[BROADRECV] QUERY - ID: 50008-1616979736.700487, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 3
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 4
[BROADRECV] QUERYHIT - ID: 50006-1616979736.699806, TTL: 2
[BROADRECV] QUERY - ID: 50008-1616979736.700487, TTL: 2
[BROADRECV] QUERYHIT - ID: 50008-1616979736.700487, TTL: 4
[BROADRECV] QUERYHIT - ID: 50008-1616979736.700487, TTL: 3
[BROADRECV] QUERYHIT - ID: 50008-1616979736.700487, TTL: 4
[BROADRECV] QUERY - ID: 50008-1616979736.700487, TTL: 2
[BROADRECV] QUERYHIT - ID: 50008-1616979736.700487, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979736.7004328, TTL: 2
[BROADRECV] QUERYHIT - ID: 50004-1616979736.7004328, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979736.7004328, TTL: 3
[BROADRECV] QUERYHIT - ID: 50004-1616979736.7004328, TTL: 3
[BROADRECV] QUERY - ID: 50004-1616979736.7004328, TTL: 0
[BROADRECV] QUERYHIT - ID: 50004-1616979736.7004328, TTL: 4
[BROADRECV] QUERYHIT - ID: 50004-1616979736.7004328, TTL: 4
